id,name,address,email,phone
35,North Star Tech Inc,"2600 Tech Pkwy, Raleigh NC 27606",,+1 919 555 0183
36,North Star Technologies Inc,"2600 Tech Pkwy, Raleigh, NC 27606",info@northstartech.com,(919) 555-0183
37,Brightside Dental,"700 Elm St Ste 305, Dallas, TX 75202",smile@brightsidedental.com,(214) 555-0162
38,Northwind Traders LLC,"845 Oak Avenue, Portland, OR 97205",info@northwindtraders.com,(503) 555-0112
39,Tidewater Marine Suply,"31 Harbor St, Norfolk, VA 23510",orders@tidewatermarine.com,(757) 555-0170
40,PIONEER PRINT SHOP,"1020 West Lake Street, Chicago, IL 60607",Chicago@PioneerPrint.com,312-555-0131
41,Cobalt Analytics Inc,"88 Harbor Blvd Suite 400, Long Beach, CA 90802",hello@cobaltanalytics.io,(562) 555-0138
42,Lakeside Yoga Studio,"742 Maple Terrace, Springfield, IL 62701",namaste@lakesideyoga.com,(217) 555-0166
43,Riverbnd Books,"58 Bay St., Toronto ON M5J2N8",shop@riverbendbooks.ca,
44,ACME WIDGETS INC,"12 North Main Street Suite 4, Springfield, IL 62704",Orders@AcmeWidgets.com,217.555.0141
45,Keystone Plumbing Company,"2450 N Lincoln Ave, Chicago, IL 60614",service@keystoneplumbing.com,(312) 555-0126
46,Evergreen Landscaping,"45 Kingsway, Burnaby, BC V5H 2A9",info@evergreenlandscaping.ca,(604) 555-0152
47,Summit Dental Group,"3100 Lakeview Dr, Austin, TX 78701",frontdesk@summitdental.com,(512) 555-0133
48,Acme Widgets Inc,"12 N Main St, Springfield, IL 62704",orders@acmewidgets.com,(217) 555-0141 ext 3
49,Saint Louis Bread Company,"88 Market St, St. Louis, MO 63101",hello@stlbread.com,(314) 555-0127
50,Riverbend Books,"58 Bay Street, Toronto, ON M5J 2N8",,416 555 0122
51,Liberty Insurance Group,"300 Main St, Hartford, CT 06103",claims@libertyig.com,(860) 555-0135
52,Cobalt Analytics,"88 Harbor Blvd Ste 400, Long Beach, CA 90802",hello@cobaltanalytics.io,
53,Pioneer Print Shop,"1020 W Lake St, Chicago, IL 60607",chicago@pioneerprint.com,(312) 555-0131
54,Keystone Plumbing Co,"2211 N Clark St, Chicago, IL 60614",service@keystoneplumbing.com,(312) 555-0126
55,Bluebird Bakery,"1509 Pine St, Seattle, WA 98101",seattle@bluebirdbakery.com,(206) 555-0165
56,Brightside Pediatrics PLLC,"700 Elm Street Suite 210, Dallas, TX 75202",office@brightsidepeds.com,
57,Northstar Technologies,"2600 Tech Parkway, Raleigh, NC 27606-1234",info@northstartech.com,
58,Granite State Insurance Agency,"9 Market Sq, Portsmouth, NH 03801",agents@granitestateins.com,(603) 555-0111
59,Redwood Family Dental,"1600 Grand Ave NW, Washington, DC 20001",smile@redwooddental.com,(202) 555-0129
